what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1327190375633
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1327190375634
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1327190375648
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1327190375648
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1327190375649
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1327190375650
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1327190375651
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1327190375653
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327190375653
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1327190375655
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327190375655
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1327190375656
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1327190375658
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1327190375658
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1327190375659
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1327190375660
os,sysinfo,,,"win32",1327190375665
arch,sysinfo,,,"x86",1327190375665
ws,sysinfo,,,"win32",1327190375665
locale,sysinfo,,,"en_US",1327190375665
processors,sysinfo,,,"2",1327190375665
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327190375665
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1327190375665
java.specification.name,sysinfo,,,"Java Platform API Specification",1327190375665
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327190375665
java.specification.version,sysinfo,,,"1.6",1327190375665
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1327190375665
java.version,sysinfo,,,"1.6.0_23",1327190375665
java.vm.info,sysinfo,,,"mixed mode, sharing",1327190375665
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1327190375665
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327190375665
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327190375665
java.vm.specification.version,sysinfo,,,"1.0",1327190375665
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1327190375665
java.vm.version,sysinfo,,,"19.0-b09",1327190375665
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1327190376085
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1327190376286
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1327190376379
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1327190384205
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1327190384259
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327190384272
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1327190384355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327190384459
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327190384838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327190388123
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327190392853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327190399588
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327190399858
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1327190400324
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1327190400327
stopped,bundle,org.zend.php.debug.debugger,5.3.18.v20100603,"org.zend.php.debug.debugger",1327190400328
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1327190400329
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1327190400330
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1327190400332
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1327190400333
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1327190400334
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1327190400336
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1327190400337
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1327190400337
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1327190400337
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1327190400343
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1327190400345
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1327190400398
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1327190400401
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1327190400411
stopped,bundle,org.eclipse.rse.importexport,1.2.100.v201003010830,"org.eclipse.rse.importexport",1327190400463
